id_aluno,nome,sobrenome,data_nascimento,idade,trabalha,tipo_escola,semestre_atual,turno,id_curso
79,André,Costa,1988-07-16,37,0,Particular,6,Noite,6
80,Mariana,Almeida,1984-10-18,41,0,Particular,1,Manha,6
81,Mariana,Almeida,1985-01-09,40,1,Particular,4,Tarde,3
82,Larissa,Rodrigues,2004-07-09,21,0,Particular,1,Noite,5
83,Bruno,Costa,2000-02-25,25,0,Publica,4,Manha,1
84,Carlos,Pereira,1995-11-04,30,0,Particular,5,Tarde,2
85,Gabriel,Rodrigues,1983-10-01,42,1,Particular,7,Noite,2
86,Eduardo,Costa,1983-12-25,42,1,Publica,1,Tarde,5
87,Camila,Souza,1996-11-11,29,0,Particular,8,Manha,4
88,Patrícia,Pereira,1993-03-24,32,1,Particular,8,Tarde,6
89,Camila,Costa,2006-02-09,19,1,Publica,8,Noite,5
90,Camila,Silva,1995-06-06,30,1,Publica,6,Tarde,3
91,Renata,Rodrigues,1997-01-17,28,0,Publica,4,Noite,4
92,Vanessa,Costa,2002-08-21,23,1,Particular,1,Manha,3
93,Felipe,Costa,1989-11-19,36,1,Particular,6,Tarde,6
94,Camila,Almeida,1988-05-09,37,0,Publica,4,Tarde,1
95,Carlos,Costa,2003-08-09,22,1,Publica,4,Tarde,2
96,Mariana,Rodrigues,1980-12-18,45,0,Particular,1,Manha,5
97,Mariana,Almeida,1983-01-19,42,1,Particular,8,Tarde,3
98,Rafael,Rodrigues,1995-02-27,30,0,Particular,8,Manha,5
99,Gabriel,Pereira,2005-10-10,20,0,Publica,2,Noite,4
100,Rodrigo,Oliveira,1994-08-10,31,1,Particular,1,Noite,6
101,Carlos,Costa,1988-11-03,37,0,Publica,3,Noite,1
102,Rafael,Oliveira,1994-12-20,31,1,Particular,1,Manha,3
103,Patrícia,Souza,2001-04-09,24,0,Particular,2,Noite,2
104,Pedro,Pereira,1982-01-06,43,1,Particular,8,Manha,4
105,Larissa,Rodrigues,1996-09-16,29,1,Publica,1,Tarde,6
106,Renata,Rodrigues,1980-02-08,45,0,Particular,1,Manha,4
107,Fernanda,Pereira,1998-07-21,27,1,Publica,8,Tarde,4
108,Camila,Souza,1985-06-14,40,1,Particular,7,Noite,1
109,Julia,Santos,1988-06-04,37,1,Publica,8,Tarde,1
110,Rodrigo,Santos,1999-08-21,26,1,Publica,4,Tarde,5
111,Pedro,Almeida,2002-08-04,23,0,Publica,3,Tarde,5
112,Rodrigo,Oliveira,1982-04-27,43,0,Particular,2,Noite,2
113,Fernanda,Lima,2002-05-14,23,1,Particular,4,Tarde,5
114,Felipe,Costa,1999-09-24,26,0,Publica,5,Tarde,3
115,Ana,Rodrigues,2003-05-27,22,1,Publica,8,Noite,4
116,Camila,Lima,2004-09-13,21,1,Particular,4,Noite,2
117,Beatriz,Oliveira,1981-06-24,44,1,Particular,7,Noite,6
118,André,Silva,1984-09-19,41,1,Publica,8,Manha,5
119,Ana,Pereira,1993-11-05,32,0,Particular,5,Tarde,5
120,Julia,Santos,2001-09-13,24,1,Particular,1,Noite,1
121,Pedro,Costa,2003-02-14,22,0,Publica,8,Manha,6
122,Ana,Silva,1990-01-10,35,1,Particular,7,Manha,2
123,Renata,Pereira,1985-03-03,40,1,Publica,8,Noite,2
124,André,Rodrigues,1994-05-22,31,0,Particular,5,Noite,5
125,Lucas,Almeida,1991-10-10,34,1,Particular,8,Tarde,2
126,Patrícia,Souza,1987-07-19,38,1,Particular,5,Manha,6
127,Fernanda,Silva,1998-11-25,27,0,Particular,5,Manha,5
128,Beatriz,Costa,1999-05-22,26,0,Publica,1,Tarde,4
129,Eduardo,Santos,2003-03-03,22,1,Particular,7,Manha,2
130,Rodrigo,Santos,1996-09-09,29,0,Particular,8,Tarde,6
131,Julia,Almeida,1982-03-25,43,0,Particular,6,Manha,4
132,Pedro,Lima,1983-08-12,42,1,Particular,6,Manha,6
133,André,Silva,1999-09-11,26,0,Publica,8,Noite,3
134,Julia,Pereira,1981-01-10,44,1,Publica,2,Manha,5
135,Felipe,Almeida,1991-11-24,34,1,Publica,7,Noite,1
136,Renata,Oliveira,1988-01-23,37,1,Publica,8,Tarde,2
137,Julia,Santos,1997-11-12,28,0,Particular,5,Manha,1
138,Julia,Costa,2000-11-20,25,0,Publica,6,Manha,2
139,Lucas,Lima,1986-10-07,39,0,Particular,3,Noite,1
140,Mariana,Pereira,1997-05-26,28,0,Publica,1,Manha,1
141,Beatriz,Nascimento,1990-01-06,35,1,Publica,3,Noite,4
142,Lucas,Almeida,1994-06-17,31,0,Particular,4,Noite,1
143,Patrícia,Silva,1981-08-28,44,1,Particular,2,Tarde,6
144,Julia,Souza,1990-10-05,35,0,Publica,5,Noite,6
145,Larissa,Nascimento,1996-05-15,29,1,Publica,2,Noite,6
146,Felipe,Almeida,1987-07-11,38,1,Particular,7,Noite,1
147,Larissa,Santos,2001-05-12,24,0,Particular,2,Manha,1
148,Felipe,Souza,2003-12-12,22,0,Publica,6,Noite,1
149,Camila,Oliveira,2003-01-10,22,1,Particular,2,Noite,5
150,Gabriel,Almeida,1987-02-12,38,1,Publica,5,Noite,2
151,Vanessa,Nascimento,1999-11-21,26,0,Particular,1,Manha,3
152,Camila,Santos,1980-03-28,45,0,Particular,2,Manha,6
153,Lucas,Lima,1986-07-14,39,1,Particular,3,Tarde,3
154,Renata,Nascimento,1982-01-05,43,0,Publica,2,Tarde,4
155,Patrícia,Nascimento,1994-07-09,31,0,Publica,6,Tarde,1
156,Renata,Almeida,1996-11-10,29,0,Publica,7,Noite,1
157,Carlos,Rodrigues,1986-03-25,39,1,Particular,6,Manha,1
158,Larissa,Pereira,1984-07-18,41,0,Particular,2,Tarde,6
159,Felipe,Silva,1994-02-28,31,1,Particular,7,Noite,6
160,Fernanda,Souza,1992-01-11,33,0,Particular,6,Manha,4
161,Carlos,Oliveira,1998-07-17,27,0,Particular,5,Noite,3
162,Bruno,Pereira,1982-09-21,43,0,Publica,6,Tarde,6
163,Carlos,Souza,1984-05-07,41,0,Publica,2,Manha,6
164,Patrícia,Nascimento,2004-10-15,21,1,Particular,3,Tarde,1
165,Patrícia,Rodrigues,2005-05-19,20,0,Particular,2,Tarde,4
166,Ana,Silva,1991-05-03,34,0,Particular,8,Noite,5
167,André,Nascimento,2000-04-11,25,1,Publica,1,Tarde,1
168,Julia,Lima,2000-03-02,25,0,Particular,8,Noite,5
169,Bruno,Santos,1989-07-14,36,1,Publica,6,Manha,3
170,Rodrigo,Oliveira,1989-05-24,36,0,Particular,2,Noite,6
171,Bruno,Rodrigues,2000-12-22,25,1,Publica,2,Tarde,5
172,Camila,Pereira,2001-12-27,24,0,Particular,6,Manha,3
173,Mariana,Costa,1990-08-07,35,0,Publica,3,Manha,3
174,Rodrigo,Lima,2006-12-17,19,0,Particular,3,Noite,4
175,Gabriel,Pereira,2006-12-25,19,0,Particular,1,Tarde,3
176,André,Nascimento,1989-12-26,36,1,Publica,4,Tarde,4
177,Bruno,Nascimento,1994-08-25,31,1,Particular,7,Manha,2
178,Pedro,Silva,2000-08-28,25,1,Publica,2,Tarde,1
179,Pedro,Almeida,1996-03-27,29,1,Publica,4,Tarde,3
180,Felipe,Silva,1992-09-12,33,0,Particular,2,Tarde,2
181,Bruno,Souza,2006-12-21,19,1,Publica,3,Manha,3
182,Mariana,Almeida,1994-10-01,31,0,Publica,5,Manha,2
183,Julia,Rodrigues,1987-05-04,38,0,Publica,7,Noite,5
184,Julia,Souza,2006-08-20,19,0,Publica,3,Tarde,4
185,Eduardo,Santos,1987-10-14,38,0,Publica,6,Manha,5
186,Felipe,Almeida,1981-11-13,44,1,Particular,1,Tarde,1
187,Beatriz,Souza,2004-10-24,21,1,Publica,1,Tarde,5
188,Mariana,Almeida,2002-08-21,23,0,Publica,2,Noite,4
189,Pedro,Costa,1981-04-02,44,1,Particular,7,Noite,4
190,Ana,Costa,1989-06-28,36,0,Particular,5,Manha,3
191,Larissa,Almeida,1992-06-06,33,1,Particular,6,Noite,3
192,Felipe,Souza,1993-10-27,32,0,Particular,6,Manha,1
193,Fernanda,Rodrigues,1994-10-23,31,1,Publica,8,Tarde,4
194,Bruno,Nascimento,1993-05-21,32,0,Publica,7,Tarde,5
195,Rafael,Pereira,1999-11-26,26,1,Publica,3,Manha,2
196,Camila,Oliveira,1998-01-20,27,0,Particular,6,Tarde,4
197,Eduardo,Pereira,1996-06-13,29,1,Particular,4,Manha,1
198,André,Lima,1992-09-04,33,1,Particular,8,Manha,5
199,Patrícia,Costa,1983-03-28,42,0,Particular,3,Noite,4
200,Bruno,Santos,2002-02-18,23,1,Particular,3,Noite,6
201,Bruno,Lima,1987-02-07,38,0,Publica,8,Manha,3
202,Patrícia,Lima,1984-10-03,41,0,Particular,7,Noite,6
203,Vanessa,Oliveira,2004-07-27,21,0,Publica,6,Noite,1
204,Patrícia,Lima,1991-03-27,34,0,Publica,7,Noite,1
205,Rodrigo,Pereira,1989-03-06,36,1,Publica,6,Noite,3
206,Pedro,Costa,2000-09-09,25,0,Particular,2,Noite,6
207,Eduardo,Nascimento,1984-03-22,41,1,Publica,1,Manha,1
208,Beatriz,Nascimento,1993-10-21,32,0,Particular,5,Noite,3
209,Beatriz,Oliveira,1989-08-03,36,0,Publica,8,Tarde,4
210,Beatriz,Santos,1999-03-11,26,1,Particular,7,Manha,3
211,Bruno,Costa,1994-02-09,31,1,Publica,3,Manha,1
212,Larissa,Nascimento,1993-04-28,32,0,Particular,6,Manha,2
213,Vanessa,Almeida,1995-05-16,30,0,Publica,7,Noite,4
214,Carlos,Nascimento,1991-01-02,34,1,Particular,8,Tarde,5
215,Lucas,Oliveira,1984-05-24,41,1,Particular,6,Manha,4
216,Eduardo,Lima,1986-06-18,39,1,Publica,7,Noite,4
217,Renata,Nascimento,1983-03-04,42,1,Particular,6,Noite,3
218,Carlos,Nascimento,1996-07-17,29,0,Publica,1,Manha,6
219,Patrícia,Lima,1994-03-20,31,0,Particular,6,Manha,4
220,Renata,Santos,1996-09-18,29,1,Particular,8,Manha,3
221,Julia,Oliveira,1998-05-26,27,0,Particular,5,Noite,5
222,Rafael,Nascimento,1995-03-17,30,1,Publica,4,Manha,5
223,Carlos,Silva,1994-06-14,31,0,Particular,4,Tarde,5
224,Ana,Pereira,1996-04-18,29,1,Particular,7,Tarde,2
225,Vanessa,Santos,1997-06-22,28,1,Particular,4,Manha,3
226,Beatriz,Rodrigues,2004-05-23,21,0,Particular,6,Tarde,3
227,Fernanda,Souza,1998-11-18,27,1,Particular,6,Manha,3
228,Pedro,Souza,1991-08-21,34,1,Particular,4,Manha,5
229,Vanessa,Rodrigues,1984-02-20,41,0,Publica,1,Noite,5
230,Carlos,Silva,1983-07-11,42,1,Publica,3,Manha,5
231,Felipe,Almeida,1995-11-07,30,1,Particular,5,Noite,1
232,Eduardo,Costa,1997-12-24,28,0,Publica,7,Manha,1
233,Patrícia,Pereira,2003-05-02,22,0,Particular,2,Tarde,3
234,Vanessa,Lima,1995-03-28,30,1,Particular,4,Manha,3
235,André,Rodrigues,2002-03-01,23,1,Particular,4,Manha,5
236,Larissa,Lima,1990-02-13,35,0,Publica,3,Tarde,3
237,Rafael,Rodrigues,1992-04-15,33,1,Particular,5,Noite,6
238,Pedro,Santos,2002-04-02,23,0,Particular,5,Manha,4
239,Julia,Rodrigues,1991-10-08,34,0,Publica,8,Manha,4
240,Larissa,Lima,1995-09-26,30,0,Publica,2,Noite,4
241,Julia,Nascimento,1983-01-27,42,0,Publica,3,Tarde,5
242,Julia,Costa,2002-10-16,23,0,Particular,1,Tarde,2
243,Patrícia,Nascimento,1981-09-15,44,1,Publica,7,Tarde,1
244,Eduardo,Souza,1981-07-12,44,0,Publica,2,Tarde,1
245,Larissa,Pereira,2004-03-25,21,1,Particular,7,Tarde,4
246,Julia,Lima,1984-11-28,41,1,Publica,3,Noite,4
247,Carlos,Silva,2004-01-10,21,1,Particular,7,Manha,2
248,Camila,Pereira,1988-04-24,37,0,Publica,7,Noite,1
249,Carlos,Souza,1983-10-02,42,1,Publica,4,Noite,1
250,Patrícia,Costa,1997-04-25,28,0,Publica,5,Manha,6
251,Renata,Nascimento,2004-11-27,21,1,Publica,5,Manha,6
252,Felipe,Rodrigues,1988-01-18,37,0,Particular,8,Manha,3
253,Vanessa,Santos,2002-07-14,23,0,Particular,7,Manha,5
254,Beatriz,Costa,1989-12-05,36,1,Publica,7,Tarde,5
255,Felipe,Costa,1988-04-11,37,0,Particular,6,Manha,5
256,Rafael,Rodrigues,1992-11-20,33,0,Publica,4,Noite,6
257,André,Costa,1990-05-01,35,0,Publica,2,Noite,4
258,Eduardo,Costa,1992-04-18,33,1,Particular,7,Tarde,5
259,Fernanda,Rodrigues,1991-09-16,34,1,Publica,8,Tarde,2
260,Camila,Oliveira,1981-10-28,44,0,Publica,1,Tarde,5
261,Fernanda,Pereira,1986-06-08,39,1,Publica,8,Noite,6
262,Fernanda,Almeida,2003-11-24,22,1,Particular,3,Noite,3
263,Gabriel,Lima,1995-03-18,30,0,Publica,2,Noite,1
264,Felipe,Pereira,2006-11-08,19,0,Publica,1,Manha,5
265,Camila,Silva,1999-11-22,26,1,Particular,1,Manha,5
266,Ana,Silva,1996-12-09,29,1,Publica,7,Manha,1
267,Rodrigo,Pereira,1987-04-20,38,1,Particular,5,Tarde,1
268,Larissa,Almeida,1998-04-23,27,0,Particular,2,Noite,6
269,Lucas,Oliveira,1992-07-18,33,1,Publica,1,Noite,2
270,André,Oliveira,2000-06-19,25,0,Publica,4,Manha,6
271,Fernanda,Silva,1982-11-09,43,0,Publica,6,Manha,2
272,Felipe,Souza,1989-03-19,36,0,Particular,6,Tarde,6
273,Lucas,Lima,2003-06-02,22,0,Particular,4,Manha,3
274,Camila,Silva,2000-05-26,25,1,Particular,4,Tarde,5
275,Larissa,Pereira,2001-10-22,24,1,Publica,5,Manha,6
276,Lucas,Rodrigues,1984-07-23,41,0,Particular,6,Tarde,1
277,Rafael,Rodrigues,1994-06-25,31,1,Publica,3,Manha,2
278,Patrícia,Lima,1997-09-14,28,0,Publica,2,Tarde,5
279,Eduardo,Nascimento,2005-06-28,20,1,Publica,5,Tarde,4
280,Rodrigo,Costa,1998-09-06,27,1,Publica,3,Tarde,3
281,Patrícia,Pereira,1982-03-14,43,1,Particular,5,Tarde,1
282,Fernanda,Costa,2003-11-16,22,0,Particular,2,Manha,3
283,Felipe,Santos,2006-10-13,19,1,Particular,6,Tarde,6
284,Pedro,Santos,1999-12-07,26,1,Particular,3,Tarde,3
285,Patrícia,Nascimento,2005-04-11,20,1,Particular,7,Tarde,1
286,Eduardo,Lima,1985-11-25,40,0,Particular,4,Tarde,3
287,Felipe,Almeida,1984-11-10,41,0,Particular,3,Noite,4
288,Julia,Almeida,1999-08-19,26,1,Particular,1,Tarde,6
289,Lucas,Costa,2001-11-12,24,0,Publica,7,Tarde,4
290,Rafael,Souza,1988-04-17,37,0,Particular,6,Tarde,4
291,Bruno,Silva,1995-02-10,30,1,Publica,2,Noite,2
292,Fernanda,Santos,1994-04-17,31,1,Particular,8,Manha,4
293,Camila,Souza,1989-01-26,36,0,Publica,6,Noite,1
294,Carlos,Lima,1985-09-06,40,1,Particular,8,Manha,4
295,Gabriel,Oliveira,1992-01-24,33,0,Particular,7,Tarde,1
296,Carlos,Rodrigues,2004-12-26,21,0,Publica,3,Tarde,3
297,André,Souza,1988-11-28,37,1,Particular,7,Noite,4
298,Bruno,Santos,1994-10-06,31,1,Publica,3,Tarde,1
299,Pedro,Souza,1985-06-23,40,0,Particular,7,Noite,2
300,Larissa,Pereira,1995-11-18,30,0,Publica,8,Tarde,2
301,Bruno,Almeida,1999-01-28,26,1,Publica,8,Manha,2
302,Vanessa,Lima,2000-08-14,25,1,Particular,8,Tarde,2
303,Eduardo,Silva,2005-04-10,20,0,Particular,4,Noite,3
304,André,Nascimento,2003-08-18,22,0,Publica,5,Noite,3
305,André,Lima,1986-07-04,39,0,Particular,1,Tarde,3
306,Julia,Almeida,1983-04-07,42,1,Particular,3,Noite,2
307,Carlos,Silva,1998-06-18,27,1,Publica,6,Noite,3
308,Renata,Rodrigues,1996-11-27,29,0,Publica,7,Manha,3
309,Gabriel,Costa,1984-12-11,41,0,Particular,8,Manha,5
310,Larissa,Oliveira,1994-02-21,31,0,Particular,5,Noite,3
311,Patrícia,Santos,1998-01-28,27,0,Particular,6,Manha,5
312,Beatriz,Oliveira,2006-04-16,19,1,Particular,5,Tarde,5
313,Eduardo,Almeida,2005-06-22,20,0,Publica,2,Noite,4
314,Lucas,Pereira,1994-08-01,31,1,Publica,3,Noite,3
315,Pedro,Souza,2000-06-09,25,0,Particular,3,Manha,4
316,Beatriz,Oliveira,2000-02-23,25,0,Publica,4,Tarde,1
317,Eduardo,Costa,1996-11-15,29,0,Publica,6,Manha,4
318,André,Souza,1987-07-03,38,0,Publica,6,Tarde,3
319,Felipe,Pereira,2000-11-05,25,0,Publica,3,Tarde,3
320,Gabriel,Oliveira,1999-11-15,26,0,Publica,2,Manha,1
321,Camila,Oliveira,1990-03-08,35,1,Publica,4,Noite,5
322,Ana,Rodrigues,1986-09-20,39,0,Particular,5,Noite,1
323,André,Oliveira,1983-04-16,42,0,Publica,6,Tarde,2
324,Renata,Oliveira,1991-09-22,34,0,Particular,2,Manha,5
325,Rafael,Rodrigues,1986-01-02,39,1,Particular,7,Tarde,6
326,Julia,Lima,1997-10-05,28,1,Publica,5,Manha,5
327,Gabriel,Lima,1990-07-19,35,0,Particular,7,Noite,2
328,Carlos,Souza,1993-02-15,32,0,Particular,3,Manha,1
329,Rafael,Pereira,1995-06-17,30,1,Publica,6,Manha,6
330,Julia,Silva,1990-07-09,35,0,Particular,2,Tarde,4
331,Ana,Almeida,1998-03-12,27,0,Particular,2,Noite,6
332,Carlos,Lima,1980-01-28,45,0,Publica,1,Tarde,3
333,Mariana,Pereira,1981-09-26,44,1,Publica,6,Manha,4
334,Fernanda,Souza,1998-06-04,27,0,Publica,4,Noite,1
335,Julia,Almeida,1989-05-11,36,0,Particular,1,Tarde,2
336,Renata,Rodrigues,2003-10-08,22,1,Particular,8,Manha,6
337,Gabriel,Silva,1993-01-08,32,1,Publica,6,Manha,6
338,Fernanda,Souza,1986-09-08,39,1,Particular,1,Manha,6
339,Julia,Silva,1987-09-14,38,1,Particular,2,Noite,1
340,Felipe,Souza,1998-10-02,27,1,Publica,4,Tarde,3
341,Larissa,Santos,1990-08-09,35,0,Publica,4,Manha,5
342,Gabriel,Souza,1985-08-15,40,1,Particular,2,Noite,3
343,André,Rodrigues,1994-05-28,31,0,Publica,3,Noite,3
344,Carlos,Santos,1984-02-23,41,0,Particular,7,Noite,1
345,Fernanda,Pereira,1980-07-28,45,1,Publica,2,Tarde,1
346,Lucas,Silva,1981-04-05,44,0,Particular,6,Noite,6
347,Eduardo,Nascimento,1988-02-01,37,0,Publica,8,Manha,1
348,Julia,Silva,1994-01-06,31,1,Particular,8,Manha,4
349,Mariana,Santos,1986-03-09,39,1,Particular,3,Manha,5
350,Pedro,Almeida,1993-09-16,32,0,Publica,5,Tarde,2
351,Beatriz,Lima,1987-11-26,38,0,Particular,6,Tarde,5
352,Camila,Nascimento,1996-06-13,29,1,Publica,1,Tarde,5
353,Rafael,Rodrigues,1981-08-17,44,1,Publica,3,Manha,2
354,Pedro,Lima,2006-12-02,19,0,Particular,6,Manha,2
355,Eduardo,Santos,2005-12-23,20,1,Publica,6,Noite,5
356,Eduardo,Costa,2006-08-18,19,1,Publica,8,Manha,1
357,Carlos,Nascimento,1987-01-17,38,1,Publica,6,Noite,2
358,Bruno,Pereira,2005-06-02,20,0,Publica,3,Manha,5
359,Julia,Santos,2002-11-13,23,0,Particular,5,Tarde,2
360,Felipe,Almeida,2000-06-06,25,1,Publica,3,Tarde,3
361,Mariana,Pereira,2003-01-23,22,1,Publica,3,Noite,3
362,Eduardo,Souza,1995-03-11,30,0,Publica,6,Tarde,2
363,Bruno,Almeida,1980-05-07,45,0,Publica,6,Tarde,1
364,Rafael,Oliveira,1994-12-14,31,0,Particular,8,Tarde,3
365,Julia,Almeida,2005-10-21,20,0,Publica,8,Manha,1
366,Ana,Santos,1988-02-03,37,1,Publica,7,Manha,6
367,Rodrigo,Souza,1990-10-20,35,1,Publica,7,Noite,2
368,Mariana,Silva,1983-06-07,42,0,Particular,5,Noite,3
369,Beatriz,Souza,1981-07-19,44,1,Publica,1,Tarde,1
370,Julia,Rodrigues,2006-11-21,19,1,Publica,2,Manha,2
371,Pedro,Souza,1995-02-10,30,1,Particular,8,Noite,3
372,Rodrigo,Oliveira,1985-06-13,40,1,Publica,8,Manha,3
373,Patrícia,Rodrigues,1987-05-19,38,0,Publica,2,Manha,6
374,Vanessa,Oliveira,2004-10-08,21,0,Particular,7,Noite,6
375,Renata,Costa,1995-05-03,30,1,Publica,3,Manha,4
376,Gabriel,Costa,2005-04-05,20,0,Particular,2,Noite,4
377,Gabriel,Nascimento,1988-06-24,37,0,Publica,7,Noite,4
378,Fernanda,Lima,1994-01-26,31,1,Publica,7,Manha,2
379,Lucas,Nascimento,2004-02-26,21,1,Particular,7,Tarde,4
380,Renata,Nascimento,1995-01-06,30,1,Particular,3,Noite,5
381,Ana,Oliveira,1990-12-08,35,0,Particular,5,Tarde,1
382,Fernanda,Rodrigues,1988-08-28,37,0,Publica,3,Tarde,6
383,Camila,Rodrigues,2003-07-20,22,0,Publica,8,Manha,4
384,Vanessa,Santos,2006-01-17,19,0,Publica,5,Noite,5
385,Mariana,Lima,1998-01-06,27,0,Publica,1,Manha,1
386,Ana,Santos,2002-04-09,23,1,Particular,7,Noite,1
387,Carlos,Santos,1995-10-15,30,0,Particular,6,Tarde,2
388,Julia,Rodrigues,1980-07-02,45,0,Publica,4,Noite,2
389,Pedro,Oliveira,1996-01-28,29,0,Particular,3,Noite,2
390,Carlos,Rodrigues,1999-05-23,26,1,Particular,7,Tarde,4
391,Beatriz,Almeida,1989-11-17,36,1,Publica,1,Noite,6
392,Vanessa,Nascimento,1999-05-10,26,0,Particular,2,Tarde,3
393,Fernanda,Rodrigues,2000-12-21,25,1,Publica,3,Noite,2
